product_id,product_name,sales,comment_id,comment_time,content,sku,sku_id,display_user_nick,reply,create_time,update_time
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1199921322963,2023-02-08,给朋友买的，朋友很喜欢，好评。,,,离**7,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1198417294993,2023-01-14,送朋友的。好看的！,,,t**8,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1198189842944,2023-01-11,送人的，她说特别好看，纸的质感也很棒,,,t**5,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1198071275015,2023-01-06,送给朋友的，她说挺有创意，应该还不错,,,禾**程,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1196871817275,2022-12-30,没预想中的好,,,t**7,亲爱的，您好，请问收到的产品是有什么问题呢？如有问题您可以随时联系在线客服哦，我们很乐意为您效劳，店铺也支持7天无理由退换货呢。十分感谢您的光顾，祝您一切皆好~,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1196217334025,2022-12-18,本子很好，像是在讲故事呢,,,笙**e,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1194584921134,2022-12-03,娃买来送人的，发货快，质量好，不错,,,z**y,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1192378240612,2022-11-13,好好,,,吉**l,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1192670955879,2022-11-06,好,,,l**l,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1189437871182,2022-10-03,此用户没有填写评价。,,,t**9,,2023-11-03 14:59:16,2023-11-03 14:59:16
